LndslideSu,Area_has,Shape_Length,Shape_Area,Point_Count,Join_ID
HL,15243.775200000000041,248618.686103500134777,166744297.847051143646240,2213,1
ML,234.259500000000003,24326.615922944765771,2564056.743452596478164,215,2
VHL,374.979199999999992,38322.253545915438735,4102699.293716596439481,167,3
