Join_ID,GPS_Building_Code_,Point_Count
1,2206000007,1
1,2206000025,1
1,2207000019,1
1,2207000021,1
1,2207000065,1
1,2207000088,1
1,2207000116,1
1,2207000142,1
1,2207000153,1
1,2207000159,1
1,2207000165,1
1,2207000169,1
1,2207000177,1
1,2207000180,1
1,2207000188,1
1,2207000216,1
1,2207000227,1
1,2207000233,1
1,2207000235,1
1,2207000237,1
1,2207000239,1
1,2207000241,1
1,2207000245,1
1,2207000253,1
1,2207000267,1
1,2207000269,1
1,2207000271,1
1,2207000285,1
1,2207000293,1
1,2207000295,1
1,2207000299,1
1,2207000305,1
1,2207000319,1
1,2207000333,1
1,2207000339,1
1,2207000347,1
1,2207000351,1
1,2207000357,1
1,2207000371,1
1,2207000379,1
1,2207000381,1
1,2207000391,1
1,2207000396,1
1,2207000405,1
1,2207000453,1
1,2207000665,1
1,2207000691,1
1,2207000843,1
1,2207000863,1
1,2207000873,1
1,2207000902,1
1,2207000910,1
1,2207000919,1
1,2207001024,1
1,2207001026,1
1,2207001028,1
1,2207001030,1
1,2207001032,1
1,2207001034,1
1,2207001036,1
1,2207001040,1
1,2207001042,1
1,2207001044,1
1,2207001048,1
1,2207001050,1
1,2207001098,1
1,2207001100,1
1,2207001102,1
1,2207001104,1
1,2207001106,1
1,2207001108,1
1,2207001136,1
1,2207001279,1
1,2207001299,1
1,2207001327,1
1,2207001349,1
1,2207001353,1
1,2207001359,1
1,2207001363,1
1,2207001380,1
1,2207001384,1
1,2207001394,1
1,2207001398,1
1,2207001416,1
1,2207001420,1
1,2207001430,1
1,2207001432,1
1,2207001442,1
1,2207001446,1
1,2207001448,1
1,2207001450,1
1,2207001456,1
1,2207001460,1
1,2207001464,1
1,2207001466,1
1,2207001508,1
1,2207001572,1
1,2207001599,1
1,2207001601,1
1,2207001603,1
1,2207001605,1
1,2207001607,1
1,2207001609,1
1,2208000015,1
1,2208000174,1
1,2208000182,1
1,2208000184,1
1,2208000186,1
1,2208000188,1
1,2208000192,1
1,2208000200,1
1,2208000219,1
1,2208000221,1
1,2208000225,1
1,2208000227,1
1,2208000231,1
1,2208000233,1
1,2208000237,1
1,2208000241,1
1,2208000244,1
1,2208000252,1
1,2208000276,1
1,2208000291,1
1,2208000308,1
1,2208000394,1
1,2208000396,1
1,2208000403,1
1,2208000494,1
1,2208000502,1
1,2208000507,1
1,2208000517,1
1,2208000519,1
1,2208000523,1
1,2208000525,1
1,2208000544,1
1,2208000552,1
1,2208000558,1
1,2208000572,1
1,2208000579,1
1,2208000585,1
1,2208000589,1
1,2208000591,1
1,2208000813,1
1,2208000831,1
1,2208000853,1
1,2208000863,1
1,2208000865,1
1,2208000871,1
1,2208000877,1
1,2208000887,1
1,2208000897,1
1,2208001039,1
1,2208001043,1
1,2208001045,1
1,2208001051,1
1,2208001055,1
1,2208001059,1
1,2208001061,1
1,2208001065,1
1,2208001075,1
1,2208001452,1
1,2208001454,1
1,2208001456,1
1,2208001458,1
1,2208001460,1
1,2208001795,1
1,2208001797,1
1,2208001805,1
1,2208001809,1
1,2208001812,1
1,2208001816,1
1,2208001928,1
1,2208001937,1
1,2208001946,1
1,2208001948,1
1,2208001950,1
1,2208001958,1
1,2208001960,1
1,2208001962,1
1,2208001964,1
1,2208001999,1
1,2208002001,1
1,2208002014,1
1,2208002016,1
1,2208002022,1
1,2208002026,1
1,2208002030,1
1,2208002214,1
1,2208002223,1
1,2208002233,1
1,2208002269,1
1,2208003187,1
1,2208003195,1
1,2208003207,1
1,2208003211,1
1,2209000186,1
1,2209000316,1
1,2209000324,1
1,2209000341,1
1,2209000389,1
1,2209000410,1
1,2209000426,1
1,2209000451,1
1,2209000473,1
1,2209000555,1
1,2209000565,1
1,2209000569,1
1,2209000579,1
1,2209000900,1
1,2209000906,1
1,2209000914,1
1,2209000916,1
1,2209000918,1
1,2209000920,1
1,2209000922,1
1,2209000926,1
1,2209000930,1
1,2209001352,1
1,2209001358,1
1,2209001538,1
1,2209001628,1
1,2209001771,1
1,2209001934,1
1,2209001954,1
1,2209001956,1
1,2209001974,1
1,2209002010,1
1,2209002094,1
1,2209002097,1
1,2209002143,1
1,2209002203,1
1,2209002243,1
1,2209002247,1
1,2209002257,1
