Join_ID,GPS_Building_Code_,Point_Count
1,2207000023,1
1,2207001026,1
1,2207001044,1
1,2207001327,1
1,2207001380,1
1,2207001384,1
1,2207001394,1
1,2207001398,1
1,2207001416,1
1,2207001430,1
1,2207001432,1
1,2207001442,1
1,2208002223,1
1,2208002269,1
1,2209002125,1
1,2209002233,1
1,2210000120,1
1,2211001022,1
1,2211001175,1
1,2212000154,1
1,2401000418,1
1,2401000420,1
1,2401000422,1
1,2401000429,1
1,2402000491,1
1,2403000034,1
1,2403000640,1
1,2403000754,1
1,2403000762,1
1,2403000786,1
1,2403000824,1
1,2403000834,1
1,2403000843,1
1,2403001052,1
1,2403001054,1
1,2403001218,1
1,2403001253,1
1,2403001255,1
1,2403001376,1
1,2403001386,1
1,2403001423,1
1,2403001424,1
1,2403001425,1
1,2403001426,1
1,2403001437,1
1,2403001695,1
1,2403001716,1
1,2403001718,1
1,2403001743,1
1,2403001744,1
1,2403001745,1
1,2403001844,1
1,2403002039,1
1,2403002814,1
1,2403002920,1
1,2403003501,1
1,2403003759,1
1,2403003760,1
1,2403003769,1
1,2403003773,1
1,2403003807,1
1,2403003958,1
1,2403003959,1
1,2403003960,1
1,2403003961,1
1,2403003963,1
1,2403003965,1
1,2403003966,1
1,2403003968,1
1,2403003969,1
1,2403003970,1
1,2403004025,1
1,2403004099,1
1,2403004101,1
1,2403004102,1
1,2403004103,1
1,2403004104,1
1,2403004114,1
1,2403004115,1
1,2403004116,1
1,2403004117,1
1,2403004118,1
1,2403004119,1
1,2403004120,1
1,2403004121,1
1,2403004123,1
1,2403004124,1
1,2403004125,1
1,2403004126,1
1,2403004128,1
1,2403004130,1
1,2403004142,1
1,2403004144,1
1,2403004353,1
1,2403004378,1
1,2403004398,1
1,2403004409,1
1,2403004576,1
1,2403004608,1
1,2403004624,1
1,2403004651,1
1,2403004695,1
1,2403004707,1
1,2403004764,1
1,2403005236,1
1,2403005246,1
1,2403005250,1
1,2403005254,1
1,2403005324,1
1,2403005325,1
1,2403005326,1
1,2403005327,1
1,2403005329,1
1,2403005330,1
1,2403005332,1
1,2403005333,1
1,2403005334,1
1,2403005335,1
1,2403005336,1
1,2403005337,1
1,2404000114,1
1,2404000147,1
1,2404000302,1
1,2404000334,1
1,2404000352,1
1,2404000368,1
1,2404000383,1
1,2404000392,1
1,2404000503,1
1,2404000958,1
1,2404001096,1
1,2404001206,1
1,2404001271,1
1,2404001337,1
1,2404001402,1
1,2404001537,1
1,2404001566,1
1,2404001579,1
1,2404001962,1
1,2404001967,1
1,2404001973,1
1,2404001983,1
1,2404002055,1
1,2404002095,1
1,2404002424,1
1,2404002505,1
1,2404002926,1
1,2404002950,1
1,2404003041,1
1,2404003071,1
1,2404003119,1
1,2404003134,1
1,2404003145,1
1,2404003153,1
1,2404003217,1
1,2404003550,1
1,2404003578,1
1,2404004212,1
1,2404004231,1
1,2404004238,1
1,2404004256,1
1,2404004261,1
1,2404004276,1
1,2404004289,1
1,2404004302,1
1,2404004503,1
1,2404004586,1
1,2404004725,1
1,2404004889,1
1,2404005018,1
1,2404005049,1
1,2404005058,1
1,2404005088,1
1,2404005104,1
1,2404005174,1
1,2404005306,1
1,2404005314,1
1,2404005592,1
1,2404005642,1
1,2404005900,1
1,2404005903,1
1,2404005904,1
1,2404005906,1
1,2404005927,1
1,2404006863,1
1,2404006887,1
1,2404006924,1
1,2404006928,1
1,2404006967,1
1,2404006992,1
1,2404007000,1
1,2404007119,1
1,2404007165,1
1,2404007175,1
1,2404007350,1
1,2404007482,1
1,2404007707,1
1,2404007709,1
1,2404007711,1
1,2404007715,1
1,2404007717,1
1,2404008056,1
1,2404008138,1
1,2404008177,1
1,2404008208,1
1,2404008672,1
1,2404008765,1
1,2404008786,1
1,2404009098,1
1,2404009303,1
1,2404009335,1
1,2404009354,1
1,2404009402,1
1,2404009478,1
1,2404009532,1
1,2404009535,1
1,2404009640,1
1,2404009828,1
1,2404009933,1
1,2404009982,1
1,2404009983,1
1,2404009985,1
1,2404009987,1
1,2404010022,1
1,2404010256,1
1,2404010259,1
1,2404010260,1
1,2404010303,1
1,2404010304,1
1,2404010305,1
1,2404010392,1
1,2404010398,1
1,2404010407,1
1,2404010410,1
1,2404010472,1
1,2404010512,1
1,2404010831,1
1,2404010856,1
1,2404010865,1
1,2404010888,1
1,2404010941,1
1,2404011447,1
1,2404011508,1
1,2404011529,1
1,2404011532,1
1,2404011537,1
1,2404011541,1
1,2404011549,1
1,2404011575,1
1,2404011608,1
1,2404011613,1
1,2404012127,1
1,2404012134,1
1,2404012143,1
1,2404012178,1
1,2404012197,1
1,2405000073,1
1,2405000081,1
1,2405000096,1
1,2405000109,1
1,2405000123,1
1,2405000146,1
1,2405000152,1
1,2405000158,1
1,2405000173,1
1,2405000179,1
1,2405000194,1
1,2405000434,1
1,2405000523,1
1,2405000532,1
1,2405000533,1
1,2405000534,1
1,2405000535,1
1,2405000536,1
1,2405000537,1
1,2405000538,1
1,2405000540,1
1,2405000541,1
1,2405000813,1
1,2405000935,1
1,2405000969,1
1,2405001063,1
1,2405001066,1
1,2405001103,1
1,2405001107,1
1,2405001114,1
1,2405001383,1
1,2405001505,1
1,2405001534,1
1,2405001786,1
1,2405001942,1
1,2405002300,1
1,2405002372,1
1,2405002493,1
1,2405002521,1
1,2405002576,1
1,2405002620,1
1,2405002750,1
1,2405003074,1
1,2405003078,1
1,2405003082,1
1,2405003084,1
1,2405003626,1
1,2405003666,1
1,2405003668,1
1,2405003670,1
1,2405003676,1
1,2405003703,1
1,2405003718,1
1,2405003721,1
1,2405003738,1
1,2405003748,1
1,2405003763,1
1,2405003765,1
1,2405003771,1
1,2405003781,1
1,2405003785,1
1,2405003803,1
1,2405003805,1
1,2405003812,1
1,2405003816,1
1,2405003829,1
1,2405003831,1
1,2405003899,1
1,2405003900,1
1,2405004458,1
1,2405004470,1
1,2405004667,1
1,2405004931,1
1,2405004975,1
1,2405004981,1
1,2405004983,1
1,2405005268,1
1,2405005423,1
1,2405005431,1
1,2405005466,1
1,2405005467,1
1,2405005490,1
1,2405005496,1
1,2405005503,1
1,2405005510,1
1,2405005671,1
1,2405005720,1
1,2405005732,1
1,2405005891,1
1,2405006392,1
1,2405006469,1
1,2405006817,1
1,2405006857,1
1,2405007108,1
1,2405007175,1
1,2405007238,1
1,2405007564,1
1,2405007574,1
1,2405007607,1
1,2405007612,1
1,2405007672,1
1,2405007683,1
1,2405007699,1
1,2405007703,1
1,2405007704,1
1,2405007707,1
1,2405007709,1
1,2405007713,1
1,2405007716,1
1,2405007719,1
1,2405007722,1
1,2405007726,1
1,2405007728,1
1,2405007763,1
1,2405007879,1
1,2405007904,1
1,2405007911,1
1,2405007986,1
1,2405008034,1
1,2405008043,1
1,2405008047,1
1,2405008144,1
1,2405008172,1
1,2405008217,1
1,2405008233,1
1,2405008274,1
1,2405008458,1
1,2405008630,1
1,2405008636,1
1,2405008639,1
1,2405008649,1
1,2405008675,1
1,2405008678,1
1,2405008683,1
1,2405008691,1
1,2405008698,1
1,2405008706,1
1,2405008721,1
1,2405008723,1
1,2405008732,1
1,2405008739,1
1,2405008767,1
1,2405008775,1
1,2405008814,1
1,2405008916,1
1,2405008952,1
1,2405008966,1
1,2405009159,1
1,2405009636,1
1,2405009661,1
1,2405010016,1
1,2405010361,1
1,2405010374,1
1,2405010378,1
1,2405010397,1
1,2405010414,1
1,2405010484,1
1,2405010996,1
1,2405011050,1
1,2405011064,1
1,2405011105,1
1,2405011219,1
1,2405011382,1
1,2405011388,1
1,2405011404,1
1,2405011411,1
1,2405011723,1
1,2405011731,1
1,2405011734,1
1,2405011976,1
1,2405012257,1
1,2405012261,1
1,2405012275,1
1,2405012325,1
1,2405012327,1
1,2405012329,1
1,2405012332,1
1,2405012334,1
1,2406000170,1
1,2406000506,1
1,2406000508,1
1,2406000522,1
1,2406000580,1
1,2406000624,1
1,2406000626,1
1,2406000643,1
1,2406000861,1
1,2406001114,1
1,2406001230,1
1,2406001253,1
1,2406001388,1
1,2406001701,1
1,2406002415,1
1,2406002473,1
1,2406002474,1
1,2406002485,1
1,2406002486,1
1,2406002699,1
1,2406002700,1
1,2406002701,1
1,2406002710,1
1,2406002920,1
1,2406003223,1
1,2406003670,1
1,2406003868,1
1,2406003871,1
1,2406003911,1
1,2406003915,1
1,2406003931,1
1,2406003943,1
1,2406003950,1
1,2406003958,1
1,2406003961,1
1,2406003975,1
1,2406004238,1
1,2406004240,1
1,2406004441,1
1,2406004917,1
1,2406004918,1
1,2406004979,1
1,2406005129,1
1,2406005296,1
1,2406005867,1
1,2406007287,1
1,2406007463,1
1,2406007492,1
1,2406007513,1
1,2406007525,1
1,2406007861,1
1,2406007862,1
1,2406008186,1
1,2406008375,1
1,2406009046,1
1,2406009504,1
1,2406009506,1
1,2406009507,1
1,2406009691,1
1,2406010471,1
1,2406010587,1
1,2406010827,1
1,2406010908,1
1,2406011257,1
1,2406011285,1
1,2406011301,1
1,2406011328,1
1,2406011404,1
1,2406011594,1
1,2406011705,1
1,2406011738,1
1,2406011984,1
1,2406012104,1
1,2406012105,1
1,2406012210,1
1,2406012215,1
1,2406012216,1
1,2406012220,1
1,2406012221,1
1,2406012223,1
1,2406012225,1
1,2406012226,1
1,2406012256,1
1,2406012306,1
1,2406012520,1
1,2406012523,1
1,2406012547,1
1,2406013013,1
1,2406013036,1
1,2406013038,1
1,2406013214,1
1,2406013579,1
1,2406013974,1
1,2406013990,1
1,2406014002,1
1,2406014005,1
1,2406014016,1
1,2406014028,1
1,2406014476,1
1,2406014534,1
1,2406014609,1
1,2406014801,1
1,2406015077,1
1,2406015261,1
1,2406015264,1
1,2406015266,1
1,2406015268,1
1,2406015270,1
1,2406015276,1
1,2406015277,1
1,2406015284,1
1,2406015292,1
1,2406015304,1
1,2407000061,1
1,2407000075,1
1,2407000130,1
1,2407000149,1
1,2407000152,1
1,2407000171,1
1,2407000179,1
1,2407000186,1
1,2407000193,1
1,2407000213,1
1,2407000323,1
1,2407000326,1
1,2407000333,1
1,2407000341,1
1,2407000345,1
1,2407000355,1
1,2407000410,1
1,2407000423,1
1,2407000433,1
1,2407000464,1
1,2407000513,1
1,2407000549,1
1,2407000556,1
1,2407000566,1
1,2407000579,1
1,2407000597,1
1,2407000621,1
1,2407000627,1
1,2407000642,1
1,2407000644,1
1,2407000645,1
1,2407000656,1
1,2407000663,1
1,2407000693,1
1,2407000705,1
1,2407000708,1
1,2407000710,1
1,2407000712,1
1,2407000714,1
1,2407000716,1
1,2407000718,1
1,2407000720,1
1,2407000729,1
1,2407000731,1
1,2407000813,1
1,2407000816,1
