HAZ,Shape_Length,Shape_Area,Point_Count,Join_ID
1.000000000000000,691057.822011842159554,7281905.151201364584267,865,1
2.000000000000000,1144412.963508741930127,24383227.815421115607023,2656,2
3.000000000000000,1211603.309147936291993,111747379.093206748366356,5098,3
